Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
128,128,Aug 23,,PHI,L0-2,33,31,0,5,3,0,0,0,1,0,10,0,1,0,0,0,0,0,.251,.328,.416,.744,6,13,R,A.Nola (80)
129,129,Aug 24,@,NYM,L0-3,31,31,0,4,1,0,0,0,0,0,13,0,0,0,0,0,0,0,.251,.327,.414,.741,4,13,L,J.Vargas (74)
130,130,Aug 25,@,NYM,L0-3,35,29,0,7,0,0,0,0,3,0,5,1,2,0,0,1,1,1,.250,.327,.413,.739,8,13,R,Z.Wheeler (66)
131,131,Aug 26,@,NYM,W15-0,47,42,15,16,3,0,3,15,4,0,10,1,0,0,0,1,1,0,.252,.328,.415,.743,5,16,L,S.Matz (69)
132,132,Aug 27,@,PHI,W5-3,41,35,5,9,1,0,1,4,5,0,8,0,1,0,1,1,1,0,.252,.328,.415,.743,9,13,R,Z.Eflin (39)
133,133,Aug 28,@,PHI,W5-4,35,32,5,6,3,0,1,3,3,0,11,0,0,0,0,1,1,0,.251,.327,.415,.742,3,17,R,A.Nola (69)
134,134,Aug 29,@,PHI,L6-8,40,36,6,10,2,1,3,6,4,0,10,0,0,0,0,1,1,0,.251,.328,.416,.744,7,16,R,J.Arrieta (35)
135,135,Aug 31,,MIL,L1-4,40,35,1,9,1,0,0,1,4,0,8,0,1,0,1,1,1,0,.252,.328,.415,.743,12,15,R,J.Chacin (61)
136,136,Sep 1,,MIL,W5-4,33,30,5,8,2,0,0,4,3,0,3,0,0,0,0,2,1,0,.252,.328,.415,.743,4,18,R,C.Anderson (55)
137,137,Sep 2,,MIL,L4-9,38,36,4,9,0,0,1,4,2,0,11,0,0,0,0,0,0,0,.252,.327,.414,.742,7,15,R,J.Guerra (34)
138,138,Sep 3,,STL,W4-3,48,36,4,8,3,0,2,4,10,1,11,1,0,1,0,0,1,0,.251,.328,.415,.743,15,16,R,J.Flaherty (57)
139,139,Sep 4,,STL,L8-11,44,33,8,9,3,0,1,8,11,1,8,0,0,0,1,3,0,0,.252,.329,.415,.744,9,18,R,J.Gant (50)
140,140,Sep 5,,STL,L6-7,44,43,6,16,5,0,0,6,1,0,6,0,0,0,2,1,0,0,.253,.330,.416,.745,11,16,R,M.Mikolas (36)
141,141,Sep 6,,CHC,L4-6,42,39,4,11,2,0,1,4,2,0,12,0,1,0,1,1,0,1,.253,.330,.416,.745,8,19,R,K.Hendricks (51)
142,142,Sep 8 (1),,CHC,W10-3,41,31,10,6,0,0,0,8,9,1,4,1,0,0,2,2,3,0,.252,.330,.414,.744,7,11,L,J.Garcia (35)
