Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
76,76,Jun 23,@,HOU,L3-4,11.0,8,4,4,0,7,8,1,0,5.21,49,187,113,0,0,0,0,39,1,0,2,1,2,1,0,5,Bill Welke,I.Kennedy (4-65) W.Peralta (2-H) B.Maurer (3-BSv) B.Smith (3) J.Grimm (0-L)
77,77,Jun 24,@,HOU,L3-11,8.0,9,11,9,2,7,4,2,0,5.27,41,148,87,0,0,0,0,33,3,0,0,0,0,1,1,2,Lance Barrett,J.Hammel (4-16-L) H.Fillmyer (99)
78,78,Jun 25,,LAA,W2-0,9.0,3,0,0,0,2,9,0,1,5.20,32,141,91,1,0,1,0,29,0,0,0,0,0,0,1,4,Vic Carapazza,B.Keller (7-77-W) T.Hill (2) K.McCarthy (2-H) W.Peralta (1-Sv)
79,79,Jun 26,@,MIL,L1-5,8.0,9,5,5,0,4,9,3,0,5.21,37,138,86,0,0,1,0,33,3,0,0,0,0,0,0,3,Jordan Baker,J.Junis (5-37-L) B.Flynn (7) B.Smith (2)
80,80,Jun 27,@,MIL,W5-4,9.0,9,4,4,0,4,9,2,0,5.19,38,152,101,0,0,1,0,34,1,0,0,0,0,0,2,4,Greg Gibson,D.Duffy (4-63-W) K.McCarthy (1) T.Hill (1) W.Peralta (1-Sv)
81,81,Jun 29,@,SEA,L1-4,8.0,5,4,4,0,5,6,2,0,5.19,34,140,79,0,0,0,0,29,0,0,0,0,0,0,0,4,Jim Reynolds,I.Kennedy (5-52-L) J.Adam (15) B.Maurer (5) B.Smith (2)
82,82,Jun 30,@,SEA,L4-6,8.0,14,6,6,0,0,6,1,0,5.20,37,117,81,0,0,0,0,36,2,1,0,0,1,0,1,2,John Tumpane,J.Hammel (5-26-L) H.Fillmyer (5)
83,83,Jul 1,@,SEA,L0-1,8.0,6,1,1,0,0,3,0,0,5.16,29,102,64,,,0,0,29,1,0,0,0,0,0,1,1,Mike DiMuro,B.Keller (5-69-L)
84,84,Jul 2,,CLE,L3-9,9.0,11,9,8,1,2,2,2,3,5.19,42,142,90,0,0,1,0,34,3,0,0,1,2,1,1,3,CB Bucknor,J.Junis (5-19-L) B.Flynn (5) J.Adam (2)
85,85,Jul 3,,CLE,L4-6,9.0,11,6,6,0,4,5,1,1,5.20,43,140,86,0,0,0,0,36,0,0,2,1,1,0,0,4,Chris Conroy,D.Duffy (5-33-L) K.McCarthy (5) B.Maurer (3) W.Peralta (5)
86,86,Jul 4,,CLE,L2-3,9.0,4,3,3,0,6,5,0,0,5.18,37,142,87,0,0,3,0,28,2,0,0,1,2,0,0,4,Brian O'Nora,T.Oaks (28-44-L) H.Fillmyer (3) T.Hill (6) W.Peralta (0)
87,87,Jul 6,,BOS,L5-10,9.0,15,10,10,0,2,4,3,0,5.23,43,168,109,1,0,0,0,41,4,0,0,0,0,0,1,4,Ryan Blakney,J.Hammel (5-5-L) B.Smith (6) B.Flynn (3) B.Maurer (2)
88,88,Jul 7,,BOS,L4-15,9.0,16,15,15,0,13,8,1,0,5.34,54,215,113,4,3,3,0,40,5,0,1,0,1,0,1,7,Sam Holbrook,B.Keller (5-33) T.Hill (2) J.Adam (4-L) E.Romero (72) K.McCarthy (3) B.Maurer (0) D.Butera (99)
89,89,Jul 8,,BOS,L4-7,9.0,14,7,6,1,7,5,0,0,5.35,44,168,91,5,2,1,0,35,2,0,0,0,2,1,5,5,Jim Wolf,H.Fillmyer (3-30-L) G.Sparkman (99) E.Romero (0) J.Adam (0) W.Peralta (3)
