Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
109,109,Jul 30,,SFG,L3-5,12.0,11,5,5,0,3,9,2,2,4.43,49,198,133,0,0,2,0,44,0,0,0,0,0,0,1,5,Mike Estabrook,E.Lauer (5-42) J.Castillo (1) C.Stammen (1) K.Yates (1) M.Strahm (4-L)
110,110,Jul 31,,SFG,L2-3,10.0,10,3,3,0,6,6,1,0,4.41,45,158,101,0,0,0,1,37,1,1,0,1,1,0,0,5,Mark Carlson,C.Richard (5-47) J.Lyles (1) R.Stock (1) K.Yates (0) P.Maton (1-L)
111,111,Aug 2,@,CHC,W6-1,9.0,3,1,1,0,1,8,0,1,4.38,32,131,90,0,0,0,0,30,0,0,0,0,0,0,0,5,Shane Livensparger,R.Erlin (5-62-W) J.Castillo (2-H) M.Strahm (2-H) C.Stammen (2) P.Maton (1)
112,112,Aug 3,@,CHC,L4-5,8.0,10,5,5,0,2,4,2,0,4.39,36,133,89,0,0,0,0,32,0,1,1,0,2,0,0,3,Fieldin Culbreth,T.Ross (5-43-L) R.Stock (2) J.Lyles (2)
113,113,Aug 4,@,CHC,L4-5,8.0,11,5,5,0,2,10,2,1,4.40,38,134,88,0,0,0,0,35,3,0,1,0,0,0,0,4,CB Bucknor,W.Lockett (25-33-L) M.Strahm (1) J.Castillo (1) P.Maton (1)
114,114,Aug 5,@,CHC,W10-6,9.0,12,6,5,1,1,14,2,0,4.40,39,161,114,4,1,0,1,37,2,0,0,0,0,0,0,4,Angel Hernandez,J.Lucchesi (6-54) J.Castillo (0-H) C.Stammen (2-BW) K.Yates (4)
115,115,Aug 7,@,MIL,W11-5,9.0,8,5,5,0,5,8,2,0,4.41,39,147,90,1,0,0,0,33,2,0,0,0,1,0,0,6,Nick Mahrley,C.Richard (6-34) P.Maton (2) M.Strahm (2-W) C.Stammen (1-H) R.Stock (3) T.Wingenter (99)
116,116,Aug 8,@,MIL,L4-8,8.0,14,8,8,0,0,8,5,0,4.44,38,142,101,0,0,1,0,35,0,0,0,2,1,0,0,3,Alan Porter,B.Kennedy (99-19-L) P.Hughes (10) T.Wingenter (0)
117,117,Aug 9,@,MIL,W8-4,9.0,10,4,2,2,1,11,0,0,4.42,37,142,102,2,0,2,1,36,2,0,0,0,0,0,0,5,Todd Tichenor,R.Erlin (6-43) P.Maton (1) J.Castillo (3) K.Yates (3-W) C.Stammen (1)
118,118,Aug 10,,PHI,W2-0,9.0,8,0,0,0,3,8,0,0,4.38,37,137,96,0,0,0,0,34,0,0,0,0,0,0,1,4,Mike Winters,J.Nix (99-66-W) M.Strahm (2-H) C.Stammen (0-H) K.Yates (0-Sv)
119,119,Aug 11,,PHI,L1-5,9.0,7,5,5,0,3,10,2,0,4.39,37,161,97,1,1,0,0,34,1,1,0,0,0,0,0,4,Jansen Visconti,W.Lockett (6-33-L) R.Stock (3) P.Maton (1) T.Wingenter (2)
120,120,Aug 12,,PHI,W9-3,9.0,6,3,3,0,5,10,0,0,4.38,36,158,98,2,2,0,0,31,2,0,0,0,0,0,1,4,Tim Timmons,J.Lucchesi (6-71-W) J.Castillo (2) P.Maton (0) K.Makita (35)
121,121,Aug 13,,LAA,L3-6,10.0,8,6,6,0,1,5,2,1,4.39,40,119,79,0,0,1,0,37,3,0,0,1,0,1,1,3,Jim Wolf,C.Richard (5-68) K.Yates (2) C.Stammen (2-L)
122,122,Aug 14,,LAA,L3-7,9.0,11,7,6,1,4,4,1,0,4.40,39,169,100,0,0,2,1,34,2,1,0,0,1,0,2,4,Sam Holbrook,B.Kennedy (5-30-L) M.Strahm (3) R.Stock (2) T.Wingenter (2)
123,123,Aug 15,,LAA,L2-3,9.0,10,3,3,0,0,6,1,0,4.39,36,127,81,0,0,0,0,35,1,0,0,0,1,0,1,4,Ramon De Jesus,R.Erlin (5-50) J.Castillo (2) C.Stammen (1) K.Yates (1-L)
124,124,Aug 16,,ARI,L1-5,9.0,7,5,5,0,8,15,1,1,4.39,43,192,110,4,0,0,0,33,1,0,0,1,0,0,0,6,Sean Barber,J.Nix (5-21-L) K.Makita (3) T.Wingenter (1) P.Maton (3) R.Stock (1) M.Strahm (1)
125,125,Aug 17,,ARI,L4-9,9.0,13,9,9,0,6,15,2,0,4.43,45,193,119,0,0,0,0,38,3,0,1,1,0,0,1,4,James Hoye,J.Lucchesi (4-27-L) M.Diaz (39) J.Castillo (1) R.Stock (0)
126,126,Aug 18,,ARI,W7-6,9.0,12,6,6,0,0,8,0,0,4.44,38,118,85,0,0,0,0,37,4,0,0,0,1,0,1,3,Eric Cooper,C.Richard (4-32) P.Maton (1-BSv) C.Stammen (2-W)
127,127,Aug 19,,ARI,L3-4,9.0,11,4,4,0,4,8,3,0,4.44,41,161,105,1,0,0,0,37,1,0,1,0,0,0,0,5,Quinn Wolcott,B.Kennedy (4-48) M.Strahm (2) C.Stammen (0-H) T.Wingenter (2-BSv) K.Yates (3-L)
128,128,Aug 21,@,COL,W4-3,9.0,7,3,3,0,1,10,1,0,4.43,35,108,74,0,0,0,0,33,1,1,1,1,0,2,2,5,Gabe Morales,R.Erlin (5-51-W) R.Stock (3-H) J.Castillo (3-H) C.Stammen (1-H) K.Yates (1-Sv)
129,129,Aug 22,@,COL,L2-6,8.0,10,6,5,1,3,5,0,0,4.44,37,148,92,0,0,3,0,33,1,2,0,0,1,0,0,3,Jerry Meals,J.Nix (5-46-L) P.Maton (3) M.Diaz (4)
130,130,Aug 23,@,COL,L3-4,8.2,7,4,4,0,1,10,2,0,4.44,33,124,81,0,0,2,0,31,2,0,0,0,1,0,1,5,Nic Lentz,J.Lucchesi (5-59) T.Wingenter (3-H) J.Castillo (1-H) C.Stammen (1-H) K.Yates (1-BL)
131,131,Aug 24,@,LAD,L1-11,8.0,13,11,10,1,6,12,3,0,4.48,42,161,98,0,0,0,0,36,4,0,0,0,0,0,1,4,Brian Gorman,C.Richard (5-18-L) M.Diaz (1) P.Maton (1) R.Stock (2)
132,132,Aug 25,@,LAD,L4-5,11.1,11,5,5,0,3,11,2,1,4.48,47,165,108,0,0,2,1,42,2,0,0,1,0,0,0,6,Tripp Gibson,B.Kennedy (5-48) M.Strahm (5) T.Wingenter (1) C.Stammen (1) J.Castillo (1) R.Stock (0-L)
133,133,Aug 26,@,LAD,L3-7,8.0,11,7,7,0,5,8,1,0,4.50,39,175,106,4,2,0,0,34,4,0,0,0,0,1,2,4,Ryan Additon,R.Erlin (4-34-L) P.Maton (1) R.Stock (0) M.Diaz (1)
134,134,Aug 28,,SEA,W2-1,9.0,8,1,1,0,0,1,1,0,4.47,33,97,71,0,0,0,0,33,0,1,0,0,0,0,2,2,Vic Carapazza,J.Nix (5-63-W) K.Yates (4-Sv)
135,135,Aug 29,,SEA,W8-3,9.0,9,3,3,0,4,11,0,0,4.46,38,164,96,3,0,1,0,34,2,0,0,0,0,0,2,5,Jerry Layne,J.Lucchesi (5-65-W) T.Wingenter (3) C.Brewer (37) C.Stammen (3) J.Castillo (3)
136,136,Aug 30,,COL,W3-2,13.0,4,2,1,1,5,8,0,1,4.42,52,181,120,0,0,1,0,46,0,0,2,0,0,3,0,7,John Tumpane,E.Lauer (30-65) T.Wingenter (0-BSv) M.Strahm (4) C.Stammen (0) K.Yates (1) J.Castillo (0) R.Stock (3-W)
137,137,Aug 31,,COL,W7-0,9.0,5,0,0,0,2,6,0,1,4.39,35,116,79,0,0,1,0,30,0,0,0,2,0,0,0,4,Jim Reynolds,B.Kennedy (5-64-W) M.Strahm (0-H) P.Maton (4-H) R.Wick (99)
138,138,Sep 1,,COL,L2-4,9.0,10,4,4,0,2,9,1,0,4.39,38,132,88,2,1,1,0,36,2,0,0,0,0,0,1,4,Jeremie Rehak,R.Erlin (5-44-L) P.Maton (0) R.Wick (0) R.Stock (1)
139,139,Sep 2,,COL,L3-7,9.0,9,7,7,0,3,8,1,0,4.41,39,141,93,2,2,3,0,34,4,0,0,0,2,0,0,3,Mark Wegner,J.Nix (4-44-L) T.Wingenter (2) M.Diaz (6)
140,140,Sep 3,@,ARI,W6-2,9.0,5,2,2,0,6,7,0,0,4.39,37,169,108,1,0,0,0,31,2,0,0,0,0,0,1,5,Angel Hernandez,B.Mitchell (89-58-W) T.Wingenter (0-H) J.Castillo (3-H) C.Stammen (3) K.Yates (3)
141,141,Sep 4,@,ARI,L0-6,8.0,9,6,4,2,3,7,0,0,4.39,34,127,80,3,1,1,0,29,1,1,0,1,1,0,2,5,Todd Tichenor,J.Lucchesi (5-58-L) R.Stock (2) P.Maton (2) M.Strahm (3) R.Wick (2)
142,142,Sep 6,@,CIN,W6-2,9.0,5,2,2,0,3,13,2,0,4.37,34,154,97,1,0,0,0,31,0,0,0,0,0,0,0,6,Sam Holbrook,E.Lauer (6-63) R.Stock (1) J.Castillo (2-W) T.Wingenter (2) C.Stammen (2) K.Yates (2)
143,143,Sep 7,@,CIN,L6-12,8.0,11,12,12,0,5,15,3,0,4.43,40,160,94,3,3,0,0,35,1,0,0,0,0,0,0,5,D.J. Reyburn,B.Kennedy (6-35) M.Strahm (2-L) R.Wick (2) M.Diaz (4) T.Wingenter (0)
144,144,Sep 8,@,CIN,L2-7,6.0,8,7,7,0,2,3,1,0,4.46,27,90,56,0,0,0,0,24,0,0,0,0,1,0,1,3,Chris Segal,R.Erlin (6-15-L) R.Stock (1) L.Perdomo (42)
145,145,Sep 9,@,CIN,W7-6,9.0,9,6,6,0,3,11,1,1,4.47,39,154,91,1,0,1,0,35,2,0,0,0,0,0,1,6,Alfonso Marquez,J.Nix (6-27) R.Stock (0) R.Wick (1) J.Castillo (2) C.Stammen (2-W) K.Yates (2-Sv)
146,146,Sep 11,@,SEA,W2-1,9.0,7,1,1,0,4,4,1,0,4.44,37,130,77,1,0,0,0,33,2,0,0,0,0,0,1,4,Jerry Meals,B.Mitchell (7-60) M.Strahm (3) C.Stammen (1-W) K.Yates (1-Sv)
147,147,Sep 12,@,SEA,W5-4,9.0,8,4,4,0,2,13,2,0,4.44,36,145,93,0,0,1,0,34,1,1,0,0,0,0,1,6,Ed Hickox,J.Lucchesi (7-44-W) T.Wingenter (4-H) R.Stock (2-H) J.Castillo (2-H) C.Stammen (0-H) K.Yates (0-Sv)
148,148,Sep 14,,TEX,L0-4,9.0,9,4,3,1,0,10,1,0,4.43,34,118,78,1,0,1,1,34,3,0,0,0,0,0,0,5,CB Bucknor,R.Erlin (5-56-L) R.Wick (4) P.Maton (9) B.Wieck (99) C.Brewer (15)
149,149,Sep 15,,TEX,L3-6,9.0,9,6,6,0,3,8,1,2,4.44,41,159,100,5,2,0,0,35,4,0,0,1,0,0,0,6,Fieldin Culbreth,E.Lauer (8-56) T.Wingenter (2) J.Castillo (2-BL) R.Stock (2) M.Strahm (3) M.Diaz (7)
150,150,Sep 16,,TEX,W7-3,9.0,8,3,3,0,3,7,2,2,4.43,38,135,90,3,0,0,0,33,4,0,0,0,0,0,0,5,Ryan Blakney,J.Nix (6-48) R.Wick (1) C.Stammen (3) T.Wingenter (0) K.Yates (3-W)
151,151,Sep 17,,SFG,L2-4,9.0,12,4,4,0,0,11,2,0,4.43,38,141,98,0,0,2,0,38,2,0,0,0,0,0,1,4,Mark Ripperger,B.Mitchell (5-37-L) B.Wieck (2) C.Brewer (2) R.Stock (1)
152,152,Sep 18,,SFG,L4-5,9.0,9,5,5,0,2,16,1,0,4.43,39,162,109,0,0,2,0,37,2,0,0,0,0,1,0,5,Doug Eddings,J.Lucchesi (5-48) M.Strahm (2-H) J.Castillo (2-H) C.Stammen (1-BL) K.Yates (1)
