Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
67,67,Jun 11,@,SEA,L3-5,37,35,3,7,2,0,3,3,2,1,11,0,0,0,1,0,0,0,.248,.321,.421,.742,7,10,L,W.LeBlanc (54)
68,68,Jun 12,@,SEA,L3-6,38,34,3,6,1,0,2,3,4,0,8,0,0,0,2,0,1,0,.247,.320,.420,.740,8,9,R,M.Leake (61)
69,69,Jun 13,@,SEA,L6-8,42,37,6,13,2,2,2,6,4,2,11,0,0,1,1,2,0,0,.248,.321,.424,.745,9,11,L,M.Gonzales (46)
70,70,Jun 15,@,OAK,W8-4,43,36,8,9,1,0,1,5,5,0,5,1,0,1,2,1,0,0,.248,.322,.423,.745,8,10,R,C.Bassitt (34)
71,71,Jun 16,@,OAK,L4-6,35,32,4,6,0,0,1,4,3,0,6,0,0,0,0,0,0,1,.247,.321,.421,.742,4,10,L,S.Manaea (55)
72,72,Jun 17,@,OAK,L5-6,46,41,5,9,1,0,2,4,4,1,9,1,0,0,1,1,1,1,.247,.321,.421,.741,8,10,R,D.Mengden (40)
73,73,Jun 18,,ARI,L4-7,40,36,4,12,1,0,2,4,3,0,5,0,0,1,0,1,0,1,.248,.321,.422,.744,9,12,R,Z.Greinke (50)
74,74,Jun 19,,ARI,W5-4,37,31,5,8,0,0,2,4,3,0,3,2,0,0,0,1,0,0,.248,.322,.423,.745,8,10,R,M.Koch (33)
75,75,Jun 21,,TOR,W8-5,38,32,8,9,2,0,3,7,6,1,10,0,0,0,0,1,1,0,.249,.323,.425,.748,6,9,R,A.Sanchez (41)
76,76,Jun 22,,TOR,W2-1,28,26,2,3,1,0,0,2,2,0,7,0,0,0,0,0,0,0,.247,.321,.423,.744,2,9,R,M.Estrada (68)
77,77,Jun 23,,TOR,L1-4,35,34,1,9,0,0,1,1,1,0,11,0,0,0,0,0,0,0,.248,.321,.422,.743,7,10,R,M.Stroman (59)
78,78,Jun 24,,TOR,L6-7,42,41,6,10,2,0,1,6,1,0,9,0,0,0,3,0,0,1,.248,.320,.421,.741,6,10,R,S.Gaviglio (47)
79,79,Jun 25,@,KCR,L0-2,32,29,0,3,0,0,0,0,2,0,9,1,0,0,0,1,1,0,.246,.319,.417,.736,5,10,R,B.Keller (77)
80,80,Jun 26,@,BOS,L1-9,34,32,1,5,0,0,1,1,2,0,10,0,0,0,0,0,0,0,.245,.317,.415,.733,6,12,L,D.Price (63)
81,81,Jun 27,@,BOS,L6-9,44,40,6,11,2,0,2,6,4,0,11,0,0,0,2,0,0,0,.245,.318,.416,.734,11,11,R,R.Porcello (40)
82,82,Jun 28,@,BOS,L2-4,38,33,2,6,0,0,1,2,4,0,10,1,0,0,0,0,0,0,.245,.317,.415,.732,9,12,L,B.Johnson (53)
83,83,Jun 29,@,BAL,W7-1,42,38,7,13,3,0,2,7,2,1,5,1,0,1,0,3,0,0,.246,.318,.417,.735,8,9,R,D.Hess (27)
84,84,Jun 30,@,BAL,W6-2,40,33,6,7,3,0,0,6,6,1,4,1,0,0,0,0,0,0,.246,.319,.416,.734,7,11,R,A.Cashner (62)
85,85,Jul 1,@,BAL,L2-8,33,32,2,6,1,0,1,2,0,0,4,1,0,0,0,1,0,0,.245,.318,.414,.732,4,11,R,K.Gausman (64)
86,86,Jul 3,@,SEA,L1-4,33,31,1,4,2,0,1,1,2,1,5,0,0,0,0,0,0,0,.244,.316,.413,.729,5,10,L,W.LeBlanc (70)
87,87,Jul 4,@,SEA,W7-4,44,40,7,13,6,0,1,7,3,3,4,0,0,0,1,0,1,0,.245,.317,.415,.732,10,9,R,M.Leake (33)
