Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
107,107,Jul 29,,NYM,L0-1,33,32,0,6,0,0,0,0,1,0,10,0,0,0,0,0,2,1,.255,.320,.417,.737,6,12,R,Z.Wheeler (68)
108,108,Jul 31,,CHC,W5-4,33,30,5,8,3,0,2,5,3,0,5,0,0,0,0,1,0,0,.255,.320,.418,.738,4,13,L,J.Lester (37)
109,109,Aug 1,,CHC,L2-9,38,32,2,7,0,0,0,2,4,0,11,1,0,0,1,2,0,1,.255,.320,.416,.737,9,16,L,C.Hamels (66)
110,110,Aug 3,,STL,W7-6,38,34,7,12,2,1,0,7,2,0,8,0,0,2,0,0,0,0,.256,.321,.417,.738,7,17,R,J.Gant (26)
111,111,Aug 4,,STL,L4-8,38,34,4,8,2,0,1,4,4,2,7,0,0,0,0,1,0,0,.256,.321,.417,.737,7,13,L,A.Gomber (34)
112,112,Aug 5,,STL,L1-2,34,30,1,5,1,0,1,1,2,0,11,1,1,0,0,1,0,0,.255,.320,.416,.736,6,17,R,J.Flaherty (72)
113,113,Aug 6,@,COL,L0-2,32,28,0,2,1,0,0,0,3,0,8,1,0,0,0,1,0,0,.254,.319,.413,.733,5,11,L,K.Freeland (75)
114,114,Aug 7,@,COL,W10-2,39,35,10,10,1,0,3,10,2,0,9,0,0,2,0,0,0,0,.254,.319,.415,.734,2,10,R,C.Bettis (13)
115,115,Aug 8,@,COL,W4-3,43,37,4,11,4,0,0,4,5,2,11,0,0,1,1,0,3,0,.254,.320,.415,.734,12,16,R,G.Marquez (48)
116,116,Aug 9,@,SFG,W10-5,42,40,10,14,2,0,3,10,1,0,6,0,0,1,2,1,1,0,.255,.320,.417,.737,5,14,L,A.Suarez (45)
117,117,Aug 10,@,SFG,L10-13,46,44,10,17,3,1,2,10,2,0,8,0,0,0,0,0,0,0,.257,.321,.419,.740,9,17,L,D.Holland (39)
118,118,Aug 11,@,SFG,W4-0,34,30,4,6,0,0,1,4,2,0,8,0,1,1,0,1,0,0,.256,.320,.418,.739,3,12,L,T.Blach (41)
119,119,Aug 12,@,SFG,L3-4,33,31,3,4,3,0,0,3,2,0,8,0,0,0,0,0,0,0,.255,.319,.417,.736,3,13,R,D.Rodriguez (72)
120,120,Aug 14,@,MIN,L2-5,36,33,2,7,2,0,0,2,3,0,12,0,0,0,0,1,0,0,.255,.319,.416,.735,7,10,R,J.Odorizzi (60)
121,121,Aug 15,@,MIN,L4-6,43,38,4,12,1,0,1,3,4,0,8,1,0,0,0,1,0,0,.256,.320,.416,.736,12,10,R,J.Berrios (35)
122,122,Aug 16,,CHC,L0-1,32,31,0,6,0,0,0,0,0,0,10,1,0,0,0,1,0,1,.255,.319,.414,.733,5,14,L,J.Lester (70)
123,123,Aug 17,,CHC,L0-1,31,27,0,7,0,0,0,0,3,0,4,1,0,0,0,6,1,0,.255,.319,.413,.732,4,14,L,C.Hamels (68)
124,124,Aug 18,,CHC,W3-1,34,29,3,8,2,0,0,3,4,0,6,0,0,1,0,2,0,0,.255,.320,.413,.732,7,13,R,T.Chatwood (37)
125,125,Aug 19,,CHC,W2-1,45,38,2,8,4,0,1,2,5,0,7,2,0,0,1,1,0,1,.255,.320,.412,.732,11,16,L,J.Quintana (57)
126,126,Aug 20,,ATL,L0-1,35,31,0,7,2,0,0,0,4,0,8,0,0,0,0,2,1,0,.255,.320,.412,.731,8,17,R,B.Wilson (63)
127,127,Aug 21,,ATL,L1-6,33,31,1,5,1,0,1,1,2,0,7,0,0,0,0,1,0,0,.254,.319,.411,.730,5,13,R,K.Gausman (77)
128,128,Aug 22,,ATL,L1-2,31,29,1,3,1,0,0,1,2,0,7,0,0,0,0,0,0,0,.253,.318,.409,.727,3,15,R,J.Teheran (73)
129,129,Aug 24,@,MIL,L6-7,70,60,6,17,4,0,0,5,7,3,17,1,1,1,1,1,1,0,.253,.319,.408,.727,19,20,L,W.Miley (42)
130,130,Aug 25,@,MIL,W9-1,45,39,9,14,5,1,1,8,6,2,9,0,0,0,0,1,0,1,.254,.320,.410,.730,9,14,R,J.Chacin (47)
131,131,Aug 26,@,MIL,L4-7,35,34,4,8,2,0,2,4,0,0,5,1,0,0,2,0,0,1,.254,.319,.410,.730,4,15,R,C.Anderson (40)
132,132,Aug 28,@,STL,L2-5,32,29,2,6,1,0,0,1,2,0,5,1,0,0,0,3,0,0,.254,.319,.409,.728,3,12,R,J.Flaherty (70)
133,133,Aug 29,@,STL,W2-0,37,35,2,10,2,0,0,2,1,0,7,0,1,0,1,2,0,0,.254,.319,.409,.728,8,14,R,M.Mikolas (47)
134,134,Aug 30,@,STL,L0-5,39,33,0,6,1,0,0,0,6,0,11,0,0,0,1,1,0,0,.254,.319,.407,.726,12,13,R,J.Gant (66)
135,135,Aug 31,@,ATL,W3-2,35,33,3,7,1,0,0,3,2,0,8,0,0,0,2,0,2,2,.253,.318,.406,.724,5,13,R,A.Sanchez (57)
136,136,Sep 1,@,ATL,L3-5,33,32,3,5,1,0,1,3,0,0,6,1,0,0,1,0,1,1,.253,.317,.405,.723,3,13,R,K.Gausman (58)
137,137,Sep 2,@,ATL,L1-5,33,31,1,5,0,0,0,1,2,0,5,0,0,0,1,2,1,0,.252,.317,.404,.720,5,13,R,J.Teheran (68)
138,138,Sep 3,,CIN,W5-1,33,33,5,9,1,0,2,5,0,0,6,0,0,0,1,1,0,0,.252,.317,.404,.721,4,13,R,M.Harvey (49)
139,139,Sep 4,,CIN,W7-3,36,33,7,12,3,0,1,7,1,0,5,0,1,1,0,0,2,0,.253,.317,.405,.722,5,13,L,C.Reed (26)
140,140,Sep 5,,CIN,W3-2,32,28,3,6,1,0,0,3,2,0,5,2,0,0,0,1,1,0,.253,.317,.404,.721,5,13,R,H.Bailey (46)
141,141,Sep 7,,MIA,W5-3,34,33,5,9,4,0,2,5,1,0,8,0,0,0,0,0,1,0,.253,.317,.405,.722,5,16,R,D.Straily (52)
142,142,Sep 8,,MIA,W5-1,35,31,5,9,4,0,1,4,3,0,9,1,0,0,0,1,0,0,.253,.317,.406,.723,6,13,L,W.Chen (44)
143,143,Sep 10,@,STL,L7-8,40,39,7,13,1,0,3,7,1,0,8,0,0,0,0,1,0,0,.254,.317,.408,.725,6,16,R,A.Wainwright (40)
144,144,Sep 11,@,STL,L5-11,38,36,5,10,5,0,0,5,2,0,8,0,0,0,0,1,0,0,.254,.317,.408,.725,6,17,R,M.Mikolas (69)
145,145,Sep 12,@,STL,W4-3,38,34,4,10,0,0,0,4,2,0,12,0,1,1,0,1,0,0,.254,.317,.407,.724,7,11,R,D.Ponce de Leon (55)
146,146,Sep 14,@,MIL,L4-7,40,33,4,7,3,1,1,4,5,0,10,1,0,1,0,0,1,0,.254,.317,.407,.725,9,15,L,G.Gonzalez (48)
147,147,Sep 15,@,MIL,W3-1,34,30,3,5,3,0,0,2,4,0,8,0,0,0,0,0,2,1,.253,.317,.406,.723,4,14,R,Z.Davies (55)
148,148,Sep 16,@,MIL,W3-2,35,28,3,5,2,0,0,3,5,1,8,0,1,1,0,1,0,1,.253,.317,.406,.722,5,14,R,J.Chacin (54)
149,149,Sep 17,,KCR,W7-6,44,41,7,16,1,1,0,6,3,0,8,0,0,0,0,1,0,0,.254,.318,.406,.724,11,15,R,B.Keller (42)
150,150,Sep 18,,KCR,W2-1,42,38,2,9,1,0,1,2,3,1,4,0,1,0,1,0,0,2,.254,.318,.406,.723,9,19,L,E.Skoglund (68)
151,151,Sep 19,,KCR,W2-1,31,30,2,9,3,0,1,2,0,0,6,0,0,1,0,0,1,1,.254,.318,.406,.724,5,12,R,H.Fillmyer (58)
152,152,Sep 21,,MIL,L3-8,34,32,3,7,1,1,2,3,2,0,7,0,0,0,0,1,0,1,.254,.317,.407,.724,4,17,R,J.Chacin (42)
153,153,Sep 22,,MIL,W3-0,34,30,3,10,1,0,0,3,3,0,7,1,0,0,0,2,0,2,.254,.318,.406,.724,7,15,R,Z.Davies (48)
154,154,Sep 23,,MIL,L6-13,35,33,6,6,2,0,1,6,1,0,9,1,0,0,1,1,0,0,.254,.317,.406,.723,2,19,L,W.Miley (40)
155,155,Sep 24,@,CHC,W5-1,39,33,5,7,2,0,2,5,5,0,9,0,1,0,0,0,0,0,.254,.317,.406,.723,7,13,L,C.Hamels (57)
156,156,Sep 25,@,CHC,W6-0,45,37,6,10,4,0,1,6,7,0,9,1,0,0,1,1,0,0,.254,.318,.407,.724,12,13,L,M.Montgomery (30)
157,157,Sep 26,@,CHC,L6-7,42,38,6,10,2,1,2,6,4,1,7,0,0,0,0,2,0,0,.254,.318,.407,.725,6,19,L,J.Quintana (55)
158,158,Sep 27,@,CHC,L0-3,36,31,0,4,1,0,0,0,5,0,5,0,0,0,1,1,1,0,.253,.318,.406,.724,9,13,L,J.Lester (65)
159,159,Sep 28,@,CIN,W8-4,43,39,8,13,3,0,2,8,2,0,10,0,0,2,1,0,0,0,.254,.318,.407,.725,8,15,R,A.DeSclafani (54)
160,160,Sep 29,@,CIN,L0-3,34,32,0,6,1,0,0,0,2,0,6,0,0,0,0,0,0,0,.253,.317,.406,.723,7,15,R,M.Lorenzen (59)
161,161,Sep 30,@,CIN,W6-5,41,37,6,10,5,0,2,4,3,1,5,0,0,1,0,2,0,0,.254,.317,.407,.725,5,16,R,S.Romano (53)
