,Date,home,away,Rhome,Raway,BAa,PAa,ABa,Ha,B2Ba,B3Ba,BHRa,RBIa,BBBa,BSOa,SHa,SFa,SBa,BAh,PAh,ABh,Hh,B2Bh,B3Bh,BHRh,RBIh,BBBh,BSOh,SHh,SFh,SBh,P3Bh,P2Bh,PHRh,PSOh,PBBh,BFh,HHAh,RSAh,ERh,UERh,Pith,Strh,P3Ba,P2Ba,PHRa,PSOa,PBBa,BFa,HHAa,RSAa,ERa,UERa,Pita,Stra,PO_h,A_h,E_h,DP_h,PO_a,A_a,E_a,DP_a,rdiff
1201,9-Aug,COL,LAD,5,8,0.243,42,39,13,2,0,5,8,2,11,0,1,2,0.254,36,32,10,2,0,1,4,4,4,0,0,0,0,2,5,11,2,42,13,8,8,0,171,115,0,2,1,4,4,36,10,5,5,0,142,86,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
1202,10-Aug,COL,LAD,5,4,0.244,39,36,10,3,0,1,4,1,5,0,0,0,0.254,38,34,9,1,2,2,5,3,13,1,0,3,0,3,1,5,1,39,10,4,4,0,152,99,2,1,2,13,3,38,9,5,5,0,154,92,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1203,11-Aug,COL,LAD,3,2,0.243,35,31,6,1,1,1,2,3,11,1,0,1,0.254,34,30,6,1,0,1,3,3,8,0,0,0,1,1,1,11,3,35,6,2,2,0,144,88,0,1,1,8,3,34,6,3,3,0,141,89,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1204,12-Aug,COL,LAD,4,3,0.243,38,31,7,1,0,0,3,5,6,1,1,3,0.253,34,29,5,1,0,1,4,3,7,0,1,0,0,1,0,6,5,38,7,3,3,0,126,71,0,1,1,7,3,34,5,4,3,1,125,85,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1222,7-Sep,COL,LAD,2,4,0.244,43,33,8,2,0,1,3,9,9,0,0,0,0.254,39,37,10,3,0,1,2,2,11,0,0,0,0,2,1,9,9,43,8,4,2,2,175,101,0,3,1,11,2,39,10,2,2,0,170,108,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-2
1223,8-Sep,COL,LAD,4,2,0.244,36,32,6,1,1,1,2,3,14,0,0,1,0.254,31,30,7,2,0,2,4,1,8,0,0,0,1,1,1,14,3,36,6,2,2,0,166,102,0,2,2,8,1,31,7,4,4,0,120,83,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,2
1224,9-Sep,COL,LAD,6,9,0.245,48,41,14,4,2,2,8,7,8,0,0,1,0.254,36,35,8,2,1,3,6,1,10,0,0,1,2,4,2,8,7,48,14,9,8,1,208,128,1,2,3,10,1,36,8,6,6,0,151,101,0.202656743,1.467599437,-1.152695809,1.37605914,2.001856474,-0.581621533,0.418816103,-1.366294755,-3
1579,6-Jul,LAA,LAD,3,2,0.245,34,31,4,1,0,0,2,3,12,0,0,0,0.243,35,31,5,1,0,0,1,4,14,0,0,1,0,1,0,12,3,34,4,2,2,0,123,81,0,1,0,14,4,35,5,3,2,1,144,94,-0.935122801,0.144987733,-1.031799137,1.967349753,2.001856474,-0.581621533,0.418816103,-1.366294755,1
1580,7-Jul,LAA,LAD,1,3,0.244,36,30,4,0,0,1,3,5,14,1,0,0,0.242,35,32,4,0,0,1,1,1,9,0,0,0,0,0,1,14,5,36,4,3,3,0,162,108,0,0,1,9,1,35,4,1,1,0,131,84,-0.935122801,0.144987733,-1.031799137,1.967349753,2.001856474,-0.581621533,0.418816103,-1.366294755,-2
1581,8-Jul,LAA,LAD,4,3,0.243,33,30,5,0,0,1,3,3,11,0,0,0,0.242,31,28,6,0,0,2,4,3,5,0,0,0,0,0,1,11,3,33,5,3,3,0,133,89,0,0,2,5,3,31,6,4,4,0,106,67,-0.935122801,0.144987733,-1.031799137,1.967349753,2.001856474,-0.581621533,0.418816103,-1.366294755,1
