Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn?,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
2,Saturday Mar 31,boxscore,KCR,,CHW,L,3,4,,0-2,5,2.0,Farquhar,Maurer,Soria,2:54,N,17564,--,
1,Thursday Mar 29,boxscore,KCR,,CHW,L,7,14,,0-1,3,1.0,Shields,Duffy,,3:26,D,36517,-,
143,Monday Sep 10,boxscore,KCR,,CHW,W-wo,4,3,10,48-95,5,32.5,Newberry,Gomez,,2:51,N,17809,+,
52,Saturday May 26,boxscore,KCR,@,TEX,L-wo,3,4,10,17-35,5,9.0,Claudio,McCarthy,,2:59,D,29644,--,
17,Friday Apr 20 (1),boxscore,KCR,@,DET,L-wo,2,3,10,3-14,5,6.0,Jimenez,Keller,,2:46,D,15406,---------,
15,Tuesday Apr 17 (2),boxscore,KCR,@,TOR,L-wo,4,5,10,3-12,5,6.0,Clippard,Flynn,,3:37,D,18645,-------,
159,Thursday Sep 27,boxscore,KCR,,CLE,W-wo,2,1,10,57-102,5,32.0,Hammel,Ramirez,,3:08,N,19262,++++,
67,Tuesday Jun 12,boxscore,KCR,,CIN,L,1,5,10,22-45,5,14.0,Hernandez,McCarthy,,2:58,N,20476,--,
49,Wednesday May 23,boxscore,KCR,@,STL,W,5,2,10,16-33,5,9.0,Boyer,Norris,Herrera,3:04,D,41984,++,
151,Tuesday Sep 18,boxscore,KCR,@,PIT,L-wo,1,2,11,52-99,5,32.5,Crick,Smith,,3:29,N,11566,---,
24,Friday Apr 27,boxscore,KCR,,CHW,L,4,7,11,5-19,5,9.0,Infante,Hill,Soria,3:34,N,15395,----,
76,Saturday Jun 23,boxscore,KCR,@,HOU,L-wo,3,4,12,23-53,5,19.5,McHugh,Grimm,,3:55,N,40028,-,
145,Wednesday Sep 12,boxscore,KCR,,CHW,L,2,4,12,49-96,5,32.5,Minaya,Smith,Santiago,3:53,N,17840,-,
29,Tuesday May 1,boxscore,KCR,@,BOS,W,7,6,13,8-21,5,7.5,Herrera,Johnson,Flynn,4:25,N,34466,+,
55,Tuesday May 29,boxscore,KCR,,MIN,W-wo,2,1,14,19-36,4,10.0,Barlow,Rogers,,4:12,N,20533,+,
