"","X1","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"110",211,49,"Friday May 25","boxscore","ATL","@","BOS","L",2,6,NA,"29-20",1,"up 0.5","Rodriguez","Teheran",NA,03:13:00,"N",37008,"--",NA
"111",212,50,"Saturday May 26","boxscore","ATL","@","BOS","L",6,8,NA,"29-21",2,"0.5","Wright","Freeman","Kimbrel",03:29:00,"D",36510,"---",NA
"112",213,51,"Sunday May 27","boxscore","ATL","@","BOS","W",7,1,NA,"30-21",1,"up 0.5","Foltynewicz","Sale",NA,02:53:00,"D",36543,"+",NA
"113",222,60,"Monday Jun 4","boxscore","ATL","@","SDP","L",4,11,NA,"35-25",1,"up 0.5","Richard","Teheran",NA,02:57:00,"N",19419,"-",NA
"114",223,61,"Tuesday Jun 5","boxscore","ATL","@","SDP","W",14,1,NA,"36-25",1,"up 0.5","Newcomb","Lyles","Jackson",02:55:00,"N",21049,"+",NA
"115",224,62,"Wednesday Jun 6","boxscore","ATL","@","SDP","L",1,3,NA,"36-26",2,"0.5","Castillo","Foltynewicz","Hand",02:47:00,"D",20898,"-",NA
"116",225,63,"Friday Jun 8","boxscore","ATL","@","LAD","L",3,7,NA,"36-27",2,"0.5","Buehler","McCarthy",NA,02:52:00,"N",47262,"--",NA
"117",226,64,"Saturday Jun 9","boxscore","ATL","@","LAD","W",5,3,NA,"37-27",2,"0.5","Sanchez","Wood","Vizcaino",03:11:00,"N",52718,"+",NA
"118",227,65,"Sunday Jun 10","boxscore","ATL","@","LAD","L",2,7,NA,"37-28",2,"0.5","Stripling","Newcomb",NA,02:37:00,"D",47711,"-",NA
"119",234,72,"Tuesday Jun 19","boxscore","ATL","@","TOR","W",11,4,NA,"43-29",1,"up 3.5","Freeman","Garcia",NA,03:03:00,"N",32466,"+++",NA
"120",235,73,"Wednesday Jun 20","boxscore","ATL","@","TOR","L",4,5,NA,"43-30",1,"up 3.5","Happ","Sanchez","Tepera",02:30:00,"D",45563,"-",NA
"121",242,80,"Friday Jun 29","boxscore","ATL","@","STL","W",5,1,NA,"46-34",1,"up 3.0","Teheran","Mikolas","Winkler",03:14:00,"N",46226,"+",NA
"122",243,81,"Saturday Jun 30","boxscore","ATL","@","STL","W",11,4,NA,"47-34",1,"up 3.0","Fried","Weaver",NA,03:11:00,"N",46667,"++",NA
