"","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","Orig..Scheduled"
"133",133,"Wednesday Aug 29","boxscore","ARI","@","SFG","W",3,1,NA,"73-60",1,"up 0.5","Godley","Rodriguez","Boxberger","2:45","N",35626,"+",NA
"134",134,"Thursday Aug 30","boxscore","ARI","@","LAD","W",3,1,NA,"74-60",1,"up 1.5","Ray","Hill","Boxberger","3:14","N",45150,"++",NA
"135",135,"Friday Aug 31","boxscore","ARI","@","LAD","L",2,3,NA,"74-61",1,"up 1.0","Floro","Greinke","Jansen","2:33","N",48965,"-",NA
"136",136,"Saturday Sep 1","boxscore","ARI","@","LAD","L",2,3,NA,"74-62",1,"Tied","Maeda","Bradley","Jansen","2:59","N",52394,"--",NA
"137",137,"Sunday Sep 2","boxscore","ARI","@","LAD","L-wo",2,3,NA,"74-63",3,"1.0","Jansen","Boxberger","","3:35","D",48517,"---",NA
"138",138,"Monday Sep 3","boxscore","ARI","","SDP","L",2,6,NA,"74-64",3,"1.5","Mitchell","Godley","","3:19","N",22514,"----",NA
"139",139,"Tuesday Sep 4","boxscore","ARI","","SDP","W",6,0,NA,"75-64",3,"1.5","Ray","Lucchesi","","2:47","N",18556,"+",NA
"140",140,"Thursday Sep 6","boxscore","ARI","","ATL","L",6,7,10,"75-65",3,"2.5","Biddle","Boxberger","Brach","4:11","N",21903,"-",NA
"141",141,"Friday Sep 7","boxscore","ARI","","ATL","W",5,3,NA,"76-65",3,"1.5","Corbin","Gausman","Boxberger","3:48","N",31308,"+",NA
"142",142,"Saturday Sep 8","boxscore","ARI","","ATL","L",4,5,10,"76-66",3,"2.5","Sobotka","Chafin","Minter","4:07","N",40482,"-",NA
"143",143,"Sunday Sep 9","boxscore","ARI","","ATL","L",5,9,NA,"76-67",3,"2.5","Freeman","Boxberger","","3:45","D",28339,"--",NA
"144",144,"Monday Sep 10","boxscore","ARI","@","COL","L",2,13,NA,"76-68",3,"3.5","Marquez","Godley","","3:09","N",25114,"---",NA
"145",145,"Tuesday Sep 11","boxscore","ARI","@","COL","W",6,3,NA,"77-68",3,"2.5","Greinke","Senzatela","Hirano","3:14","N",26510,"+",NA
"146",146,"Wednesday Sep 12","boxscore","ARI","@","COL","L-wo",4,5,NA,"77-69",3,"3.5","Davis","Hirano","","3:07","N",31687,"-",NA
"147",147,"Thursday Sep 13","boxscore","ARI","@","COL","L",3,10,NA,"77-70",3,"4.5","Freeland","Koch","","3:04","D",31783,"--",NA
"148",148,"Friday Sep 14","boxscore","ARI","@","HOU","W",4,2,NA,"78-70",3,"3.5","Ziegler","Rondon","Hirano","3:36","N",36924,"+",NA
"149",149,"Saturday Sep 15","boxscore","ARI","@","HOU","L",4,10,NA,"78-71",3,"4.0","Morton","Godley","","3:17","N",38345,"-",NA
"150",150,"Sunday Sep 16","boxscore","ARI","@","HOU","L",4,5,NA,"78-72",3,"4.5","Verlander","Greinke","Osuna","3:09","D",37889,"--",NA
"151",151,"Monday Sep 17","boxscore","ARI","","CHC","L",1,5,NA,"78-73",3,"5.0","Hendricks","Corbin","","2:46","N",27662,"---",NA
"152",152,"Tuesday Sep 18","boxscore","ARI","","CHC","L",1,9,NA,"78-74",3,"6.0","Montgomery","Andriese","","3:10","N",26095,"----",NA
"153",153,"Wednesday Sep 19","boxscore","ARI","","CHC","W",9,0,NA,"79-74",3,"6.0","Ray","Hamels","","2:20","N",25715,"+",NA
